Cohort Year,Level,Division Number,Division Name,School Number,School Name,Type of Graduation Rate,Rate Type,English Learner,Graduation Rate,Students in Cohort,Total Graduates,Advanced Studies,IB,Standard,Other Diplomas,Applied Studies,Dropout Rate
2018,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    89.41%,             255,             228,             155,               0,              68,               0,<,     6.67%
2018,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    71.88%,              32,              23,              10,               0,              10,               0,<,    21.88%
2018,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    98.23%,             282,             277,             210,               0,              62,               0,<,     1.06%
2018,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2018,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    93.95%,"           1,041",             978,             689,               0,             267,               0,              22,     3.84%
2018,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    78.65%,              89,              70,              27,               0,              39,               0,<,    19.10%
2018,State,,,,,On-Time Graduation Rate,4 yr rate,N,    93.21%,"          90,413","          84,271","          48,484","           1,078","          32,235",              30,"           2,444",     3.92%
2018,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    72.60%,"           7,495","           5,441","           1,408",              10,"           3,755",<,             262,    24.48%
2019,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    94.51%,             437,             413,             291,               0,             113,               0,<,     3.89%
2019,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    74.42%,              43,              32,              17,               0,              15,               0,               0,    25.58%
2019,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    95.65%,             276,             264,             174,               0,              80,<,<,     3.26%
2019,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    80.00%,              20,              16,               4,               0,              12,               0,               0,    20.00%
2019,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    98.51%,             268,             264,             202,               0,              55,               0,<,      .37%
2019,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2019,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    95.56%,"           1,014",             969,             671,               0,             272,<,              25,     2.76%
2019,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    76.47%,              68,              52,              22,               0,              30,               0,               0,    23.53%
2019,State,,,,,On-Time Graduation Rate,4 yr rate,N,    93.35%,"          90,376","          84,364","          48,527",             926,"          32,486",<,"           2,416",     3.77%
2019,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    70.98%,"           7,991","           5,672","           1,252",              11,"           4,103",               0,             306,    25.65%
2020,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    96.90%,             419,             406,             279,               0,             122,               0,<,     1.19%
2020,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    61.76%,              68,              42,              13,               0,              29,               0,               0,    38.24%
2020,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    91.82%,             269,             247,             155,               0,              92,               0,               0,     4.09%
2020,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    75.00%,              20,              15,               4,               0,              11,               0,               0,    25.00%
2020,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    98.96%,             288,             285,             223,               0,              58,               0,<,      .00%
2020,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    96.09%,             997,             958,             660,               0,             289,               0,<,     1.71%
2020,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    64.77%,              88,              57,              17,               0,              40,               0,               0,    35.23%
2020,State,,,,,On-Time Graduation Rate,4 yr rate,N,    94.32%,"          89,952","          84,846","          48,748","           1,003","          32,931",<,"           2,158",     3.19%
2020,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    72.93%,"           8,479","           6,184","           1,284",              10,"           4,649",               0,             241,    25.53%
2021,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,N,    97.54%,             447,             436,             313,               0,             117,               0,<,     2.01%
2021,School,2,Albemarle County,0880,Albemarle High,On-Time Graduation Rate,4 yr rate,Y,    81.82%,              44,              36,               6,               0,              30,               0,               0,    18.18%
2021,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,N,    95.11%,             266,             253,             155,               0,              90,               0,<,     3.76%
2021,School,2,Albemarle County,1052,Monticello High,On-Time Graduation Rate,4 yr rate,Y,    88.89%,              18,              16,               4,               0,              11,               0,<,    11.11%
2021,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,N,    98.98%,             294,             291,             215,               0,              73,               0,<,      .68%
2021,School,2,Albemarle County,0140,Western Albemarle High,On-Time Graduation Rate,4 yr rate,Y,<,<,<,<,<,<,<,<,<
2021,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,N,    97.15%,"           1,019",             990,             687,               0,             286,               0,              17,     2.16%
2021,Division,2,Albemarle County,,,On-Time Graduation Rate,4 yr rate,Y,    84.62%,              65,              55,              11,               0,              43,               0,<,    15.38%
2021,State,,,,,On-Time Graduation Rate,4 yr rate,N,    94.27%,"          89,942","          84,784","          49,056",             920,"          32,896",<,"           1,907",     2.91%
2021,State,,,,,On-Time Graduation Rate,4 yr rate,Y,    77.23%,"           7,229","           5,583","           1,276",               5,"           4,094",               0,             208,    21.19%
